date,current_current,current_capital,carry-over
2005-10-01,99728,17263,5218
2005-11-01,78860,32713,15670
2005-12-01,66634,16810,28865
2006-01-01,89768,20322,6710
2006-02-01,74638,26243,11587
2006-03-01,87879,21719,17839
2006-04-01,72008,24115,3837
2006-05-01,68998,13288,6707
2006-06-01,95519,15131,6654
2006-07-01,75520,16848,6223
2006-08-01,84487,26608,5413
2006-09-01,112842,32087,9821
2006-10-01,75534,5732,8292.5
2006-11-01,84896,8570,17973.29
2006-12-01,77650,5476,16055.44
2007-01-01,74971,12152,9930.77
2007-02-01,136792,54437,9085
2007-03-01,106881,20991,12028
2007-04-01,97682,13534,4614
2007-05-01,90381,40930,5775
2007-06-01,126402,32201,5778
2007-07-01,119440,23344,3772
2007-08-01,101347,17262,4169
2007-09-01,116157,28077,6654
2007-10-01,121123,26813,7453
2007-11-01,93861,18252,14905
2007-12-01,88182,9664,13021
2008-01-01,93934,52983,11485
2008-02-01,97960,10673,10025
2008-03-01,100423,13110,11614
2008-04-01,104918,45111,4607
2008-05-01,108354,11608,6805
2008-06-01,107295,29793,6110
2008-07-01,115870,18627,4341
2008-08-01,107822,12602,4205
2008-09-01,125247.56,18253.22,6354.94
2008-10-01,84629.63,563.09,8525.4
2008-11-01,131279.81,18022.87,15897.78
2008-12-01,118357.49,9467.88,17596.24
2009-01-01,125971.34,52028.62,14417.19
2009-02-01,132738.53,33830.37,13110.09
2009-03-01,164250.83,14221.7,16873.08
2009-04-01,117227.37,19966.47,4487.22
2009-05-01,114772,39973,6261
2009-06-01,110789,20237,8472
2009-07-01,128631.97,30097.61,5388.27
2009-08-01,119691.03,17224.39,5246.73
2009-09-01,159554.63,27335.6,9991.48
2009-10-01,79470,673,10196
2009-11-01,160782.48,5334,22498
2009-12-01,112293.27,37602.41,22326.09
2010-01-01,128315.77,5670,16022.2
2010-02-01,117878.46,51503.62,13467.71
2010-03-01,119986.02,9666.97,20328
2010-04-01,125819,10768,8941
2010-05-01,110268,7791,5908
2010-06-01,111500,11696,12259
2010-07-01,124850.0546,10277.97551,7499
2010-08-01,92492.00351,10830.29938,6795.536703
2010-09-01,161104.8781,21301.77368,10297.1069
2010-10-01,189957,4161.235621,13333.93746
2010-11-01,196444,10756.58636,15951.10993
2010-12-01,133696,18308.17801,15762.95261
2011-01-01,146289,74368,14534
2011-02-01,122765,16699,15225
2011-03-01,141375.3846,15634.57276,13903.43522
2011-04-01,120855.1526,14225.39894,4624.808242
2011-05-01,188689.7645,16533.08232,6223.129578
2011-06-01,161493.6319,19756.74921,6342.983535
2011-07-01,120305.8735,18105.24755,4620.623707
2011-08-01,113042.1929,22431.26762,8069.958397
2011-09-01,152068.5,32579.06101,8763.38132
2011-10-01,136593.5811,19316.48853,11043.91919
2011-11-01,127201.0289,4662.004656,18371.24081
2011-12-01,137437.39,14149.64299,21041.03
2012-01-01,131399.9856,4210.234294,14851.88745
2012-02-01,235122.6743,8949.891998,14988.53495
2012-03-01,283286.0203,68587.05461,18104.93056
2012-04-01,135231.2592,15047.93232,7290.415443
2012-05-01,113241.5399,21809.62565,9871.224894
2012-06-01,127771.88,22609.04,7033.62
2012-07-01,146782.57,24459.53,8005.78
2012-08-01,125741.1476,27222.13108,6543.967965
2012-09-01,173258,44384,9705
2012-10-01,286670,3962,21521
2012-11-01,223584.71,47228.05,29014.39
2012-12-01,131110.28,7225.09,35597.82
2013-01-01,173709.22,7382.8,27022.33
2013-02-01,122601,7937,21536
2013-03-01,125923,75355,24199
2013-04-01,156669,13599,10096
2013-05-01,108997,16713,9565
2013-06-01,135424,19849,11125
2013-07-01,137824,20582,12681
2013-08-01,106333,23966,13147
2013-09-01,186040,32776,15517
2013-10-01,241304,2697,14271
2013-11-01,227852,4717,23235
2013-12-01,175127,109129,32727
2014-01-01,177496.4,8898.39,26814.13
2014-02-01,141914,12195,20270
2014-03-01,128728,13308,23421
2014-04-01,156868,22912,16045
2014-05-01,125854,16609,11837
2014-06-01,135721.6,18704.27092,10127.75678
2014-07-01,170070,19351,10814
2014-08-01,107216,17454,7440
2014-09-01,174107,38075,16682
2014-10-01,329977,14824,22797
2014-11-01,171898,8762,25098
2014-12-01,223234,17676,29835
2015-01-01,181071,16820,17846
2015-02-01,109685,21762,18981
2015-03-01,190218,38153,23082
2015-04-01,156138,22807,12543
2015-05-01,139510,24448,12796
2015-06-01,156676,29859,14792
2015-07-01,186059,22672,13195
2015-08-01,116710,22204,9338
2015-09-01,145379,31572,23004
2015-10-01,336077,23531,14593
2015-11-01,197487,11479,23962
2015-12-01,206044,33052,44697
2016-01-01,220839,20123,18944
2016-02-01,108860,29783,21955
2016-03-01,179352,45223,34876
2016-04-01,186283,25226,12117
2016-05-01,139578,36913,12899
2016-06-01,211389,39386,13983
2016-07-01,153931,22214,8052
2016-08-01,118769,30468,9434
2016-09-01,155449,47458,12948
2016-10-01,394852,27531,12972
2016-11-01,126649,21786,27277
2016-12-01,262433,42869,52736
2017-01-01,211070,18680,25277
2017-02-01,113807,28962,15178
2017-03-01,152971,51160,19462
2017-04-01,188254,21884,7033
2017-05-01,171187,30814,7775
2017-06-01,181788.15,30837.92,12223.25
2017-07-01,227022,24699,5039
2017-08-01,126545,31542,6980
2017-09-01,149238,50011,12001
2017-10-01,381741,32205,14428
2017-11-01,202053,19144,28978
2017-12-01,226792,35833,26282
2018-01-01,200378,26450,17739
2018-02-01,119046,28056,18886
2018-03-01,159736,39126,21322
2018-04-01,211302,25319,9761
2018-05-01,142717,29688,17169
2018-06-01,249683,36913,15865
2018-07-01,177080,25544,10366
2018-08-01,134004,32996,11991
2018-09-01,207242,49057.97,22311
2018-10-01,422282,25527,20472
2018-11-01,181447,18251,26576
2018-12-01,214004,31459,23704
2019-01-01,256416,30104,18380
2019-02-01,152694,29363,18141
2019-03-01,159898,40763,24487
2019-04-01,185957,25909,50833
2019-05-01,128363,32983,10429
2019-06-01,183228,33804,10016
2019-07-01,189823,29799,11245
2019-08-01,125193,33010,9904
2019-09-01,201823,56223,30668
2019-10-01,336990,10549,20670
2019-11-01,148940,5692,26685
2019-12-01,217561,9758,33238
2020-01-01,184120,8003,24888
2020-02-01,161795,6895,17700
2020-03-01,404454,48380,20187
2020-04-01,289657,33285,13052
2020-05-01,145322.77,31564.32,9738.31
2020-06-01,167795.22,42734.84,10027.52
2020-07-01,180327.95,43456.4,9232.02
2020-08-01,127159,47010,9477
2020-09-01,211823,80588,29974
2020-10-01,342077,13187,19302
2020-11-01,300491,35608,27667
2020-12-01,222957,24223,32789
2021-01-01,172444,16631,18001
2021-02-01,141785,23511,16154
2021-03-01,211923.54,46588.96,20004.86
2021-04-01,186782,36053,8300
2021-05-01,148821,38917,8651
2021-06-01,217784,48660,9854
2021-07-01,223450,36996,5308
2021-08-01,203554,39939,7517
2021-09-01,211730,68043,22950
2021-10-01,439168.27,54344.33,16720.52
2021-11-01,209035.52,19541.94,28589.25
2021-12-01,238407,23116.5,30220.85
2022-01-01,162474.23,20282.23,18481.04
2022-02-01,121458.35,29773.35,17580.04
2022-03-01,231342.65,40979.79,21552.81
2022-04-01,162320.22,31663.83,9528.29
2022-05-01,142191.09,35881.36,11189.73
2022-06-01,266329.69,40861.95,11110.67
2022-07-01,222291.02,27863.57,7741.54
2022-08-01,152976.19,35794.97,13253.32
2022-09-01,168579.3,55886,27709.51
2022-10-01,420944,52494,14248.38
2022-11-01,205118,44315,23492
2022-12-01,232696,26640,21191
